seed,policy,total_production_tonnes,tonnes_per_operating_hour,completed_trips,mean_cycle_time_min,mean_shovel_queue_wait_min,mean_dump_queue_wait_min,mean_truck_utilization,replication
1694426296,fixed,14968.76,1995.83,158,17.09,0.2826,0.0,0.6771,1
435289397,fixed,14786.32,1971.51,157,17.21,0.3874,0.0,0.7003,2
1490909021,fixed,14875.17,1983.36,157,17.13,0.3032,0.0,0.7584,3
2077055179,fixed,14931.85,1990.91,157,17.13,0.3735,0.0,0.6777,4
926059861,fixed,14709.51,1961.27,156,17.21,0.3022,0.0,0.6627,5
1800206545,fixed,14877.15,1983.62,156,17.25,0.4147,0.0,0.7483,6
467138029,fixed,15030.83,2004.11,158,17.1,0.3317,0.0,0.7568,7
698199618,fixed,15208.48,2027.8,159,17.02,0.3219,0.0,0.7196,8
30330133,fixed,14953.02,1993.74,158,17.18,0.3701,0.0,0.7025,9
1755850295,fixed,15012.4,2001.65,158,17.11,0.3476,0.0,0.71,10
913239441,fixed,14993.22,1999.1,158,17.1,0.3695,0.0,0.6771,11
1858738512,fixed,14919.23,1989.23,158,17.08,0.2961,0.0,0.679,12
1869678314,fixed,14862.51,1981.67,156,17.16,0.3155,0.0,0.6781,13
875615296,fixed,14868.71,1982.49,157,17.11,0.3364,0.0,0.6782,14
1345550467,fixed,14978.15,1997.09,158,17.08,0.2986,0.0,0.6782,15
2111733128,fixed,14983.54,1997.81,158,17.1,0.3485,0.0,0.701,16
1183236338,fixed,14958.7,1994.49,157,17.19,0.3966,0.0,0.6742,17
374531960,fixed,15005.52,2000.74,158,17.01,0.3441,0.0,0.7569,18
2062830368,fixed,14961.26,1994.84,158,17.06,0.3523,0.0,0.6753,19
1462609901,fixed,15034.56,2004.61,158,17.04,0.2847,0.0,0.7193,20
121624289,shortest_queue,14846.23,1979.5,156,17.15,0.3737,0.0,0.7201,1
1099391806,shortest_queue,15137.04,2018.27,159,17.07,0.3387,0.0,0.6813,2
1695038886,shortest_queue,14872.6,1983.01,157,17.17,0.4019,0.0,0.7177,3
813376881,shortest_queue,14988.41,1998.46,157,17.16,0.3757,0.0,0.72,4
540026276,shortest_queue,14884.46,1984.6,157,17.28,0.3652,0.0,0.7038,5
2126977127,shortest_queue,14974.25,1996.57,158,17.1,0.3094,0.0,0.6775,6
376450333,shortest_queue,15011.28,2001.5,158,17.17,0.317,0.0,0.6776,7
1737008788,shortest_queue,14774.9,1969.99,156,17.26,0.3757,0.0,0.701,8
798203405,shortest_queue,14958.07,1994.41,157,17.12,0.305,0.0,0.703,9
815169034,shortest_queue,15007.75,2001.03,158,17.12,0.3561,0.0,0.6651,10
751953387,shortest_queue,15059.96,2007.99,158,17.01,0.2572,0.0,0.718,11
660633680,shortest_queue,14974.11,1996.55,158,17.13,0.3055,0.0,0.6799,12
1570263442,shortest_queue,15019.7,2002.63,158,17.09,0.3184,0.0,0.6736,13
1061381079,shortest_queue,14958.03,1994.4,157,17.14,0.3622,0.0,0.6761,14
184457444,shortest_queue,15110.89,2014.79,159,16.96,0.2076,0.0,0.7192,15
1762849972,shortest_queue,14878.95,1983.86,157,17.13,0.3307,0.0,0.6742,16
1785028313,shortest_queue,14941.3,1992.17,158,17.13,0.2674,0.0,0.7577,17
1793273270,shortest_queue,14878.08,1983.74,157,17.19,0.3909,0.0,0.7161,18
768039500,shortest_queue,15081.69,2010.89,159,16.98,0.263,0.0,0.6672,19
1724876241,shortest_queue,14893.47,1985.8,157,17.16,0.4039,0.0,0.7488,20
1169834285,adaptive_ect,14910.21,1988.03,157,17.17,0.3596,0.0,0.6731,1
1245205650,adaptive_ect,14938.05,1991.74,157,17.24,0.3768,0.0,0.703,2
1790104254,adaptive_ect,14910.81,1988.11,158,17.08,0.3172,0.0,0.6993,3
1433978697,adaptive_ect,15042.18,2005.62,158,17.09,0.3148,0.0,0.674,4
822565477,adaptive_ect,14935.9,1991.45,157,17.09,0.315,0.0,0.7174,5
766808976,adaptive_ect,15067.78,2009.04,158,17.13,0.313,0.0,0.677,6
1776406860,adaptive_ect,14818.89,1975.85,157,17.2,0.3723,0.0,0.6993,7
2114408803,adaptive_ect,15084.96,2011.33,158,17.14,0.303,0.0,0.6804,8
1801656546,adaptive_ect,14993.66,1999.16,158,17.13,0.3156,0.0,0.7152,9
1525985671,adaptive_ect,14952.74,1993.7,157,17.16,0.3972,0.0,0.6762,10
58466203,adaptive_ect,15016.31,2002.17,158,17.13,0.311,0.0,0.7621,11
365732732,adaptive_ect,14991.12,1998.82,158,17.1,0.3617,0.0,0.6707,12
1333205131,adaptive_ect,15004.92,2000.66,158,17.16,0.3751,0.0,0.6608,13
724700158,adaptive_ect,14912.33,1988.31,157,17.13,0.3546,0.0,0.6917,14
1287940514,adaptive_ect,15122.45,2016.33,159,17.09,0.3158,0.0,0.7,15
277008986,adaptive_ect,15114.81,2015.31,159,17.0,0.2718,0.0,0.6831,16
340975666,adaptive_ect,15064.59,2008.61,159,16.98,0.2604,0.0,0.6781,17
1527668112,adaptive_ect,14995.63,1999.42,157,17.12,0.3726,0.0,0.6982,18
1409282347,adaptive_ect,15078.09,2010.41,158,17.07,0.293,0.0,0.6791,19
1431808388,adaptive_ect,14895.25,1986.03,157,17.16,0.3287,0.0,0.7182,20
