sim_time_min,event_type,policy,truck_id,origin,destination,shovel_id,dump_id,duration_min,queue_length,queue_wait_min,payload_tonnes
0.0,DISPATCH,fixed,T01,D1,S1,S1,D1,,,,
0.0,EMPTY_TRAVEL_START,fixed,T01,D1,S1,,,4.5826,,,
0.0,DISPATCH,fixed,T02,D2,S2,S2,D2,,,,
0.0,EMPTY_TRAVEL_START,fixed,T02,D2,S2,,,3.5278,,,
0.0,DISPATCH,fixed,T03,D1,S1,S1,D1,,,,
0.0,EMPTY_TRAVEL_START,fixed,T03,D1,S1,,,4.922,,,
0.0,DISPATCH,fixed,T04,D2,S2,S2,D2,,,,
0.0,EMPTY_TRAVEL_START,fixed,T04,D2,S2,,,3.8625,,,
0.0,DISPATCH,fixed,T05,D1,S1,S1,D1,,,,
0.0,EMPTY_TRAVEL_START,fixed,T05,D1,S1,,,4.9798,,,
0.0,DISPATCH,fixed,T06,D2,S2,S2,D2,,,,
0.0,EMPTY_TRAVEL_START,fixed,T06,D2,S2,,,3.6892,,,
3.5278,EMPTY_TRAVEL_END,fixed,T02,D2,S2,,,,,,
3.5278,QUEUE_FOR_SHOVEL,fixed,T02,S2,S2,S2,,,0.0,,
3.5278,LOADING_START,fixed,T02,S2,S2,S2,,5.3149,0.0,0.0,
3.6892,EMPTY_TRAVEL_END,fixed,T06,D2,S2,,,,,,
3.6892,QUEUE_FOR_SHOVEL,fixed,T06,S2,S2,S2,,,0.0,,
3.8625,EMPTY_TRAVEL_END,fixed,T04,D2,S2,,,,,,
3.8625,QUEUE_FOR_SHOVEL,fixed,T04,S2,S2,S2,,,1.0,,
4.5826,EMPTY_TRAVEL_END,fixed,T01,D1,S1,,,,,,
4.5826,QUEUE_FOR_SHOVEL,fixed,T01,S1,S1,S1,,,0.0,,
4.5826,LOADING_START,fixed,T01,S1,S1,S1,,4.4264,0.0,0.0,
4.922,EMPTY_TRAVEL_END,fixed,T03,D1,S1,,,,,,
4.922,QUEUE_FOR_SHOVEL,fixed,T03,S1,S1,S1,,,0.0,,
4.9798,EMPTY_TRAVEL_END,fixed,T05,D1,S1,,,,,,
4.9798,QUEUE_FOR_SHOVEL,fixed,T05,S1,S1,S1,,,1.0,,
8.8427,LOADING_END,fixed,T02,S2,D2,S2,,5.3149,,,
8.8427,LOADED_TRAVEL_START,fixed,T02,S2,D2,,,5.778,,,
8.8427,LOADING_START,fixed,T06,S2,S2,S2,,5.263,0.0,5.1535,
9.0091,LOADING_END,fixed,T01,S1,D1,S1,,4.4264,,,
9.0091,LOADED_TRAVEL_START,fixed,T01,S1,D1,,,7.5831,,,
9.0091,LOADING_START,fixed,T03,S1,S1,S1,,4.0184,0.0,4.0871,
13.0275,LOADING_END,fixed,T03,S1,D1,S1,,4.0184,,,
13.0275,LOADED_TRAVEL_START,fixed,T03,S1,D1,,,6.2598,,,
13.0275,LOADING_START,fixed,T05,S1,S1,S1,,4.6221,0.0,8.0477,
14.1056,LOADING_END,fixed,T06,S2,D2,S2,,5.263,,,
14.1056,LOADED_TRAVEL_START,fixed,T06,S2,D2,,,5.187,,,
14.1056,LOADING_START,fixed,T04,S2,S2,S2,,5.4735,0.0,10.2432,
14.6207,LOADED_TRAVEL_END,fixed,T02,S2,D2,,,,,,
14.6207,QUEUE_FOR_DUMP,fixed,T02,D2,D2,,D2,,0.0,,
14.6207,DUMPING_START,fixed,T02,D2,D2,,D2,1.5798,,0.0,100.2477
16.2005,DUMPING_END,fixed,T02,D2,D2,,D2,,,,100.2477
16.2005,DISPATCH,fixed,T02,D2,S2,S2,D2,,,,
16.2005,EMPTY_TRAVEL_START,fixed,T02,D2,S2,,,4.2723,,,
16.5922,LOADED_TRAVEL_END,fixed,T01,S1,D1,,,,,,
16.5922,QUEUE_FOR_DUMP,fixed,T01,D1,D1,,D1,,0.0,,
16.5922,DUMPING_START,fixed,T01,D1,D1,,D1,1.549,,0.0,102.0
17.6495,LOADING_END,fixed,T05,S1,D1,S1,,4.6221,,,
17.6495,LOADED_TRAVEL_START,fixed,T05,S1,D1,,,6.7407,,,
18.1412,DUMPING_END,fixed,T01,D1,D1,,D1,,,,102.0
18.1412,DISPATCH,fixed,T01,D1,S1,S1,D1,,,,
18.1412,EMPTY_TRAVEL_START,fixed,T01,D1,S1,,,4.656,,,
19.2873,LOADED_TRAVEL_END,fixed,T03,S1,D1,,,,,,
19.2873,QUEUE_FOR_DUMP,fixed,T03,D1,D1,,D1,,0.0,,
